qp	pos	id	rep	trayid	row	col	indpop	water	FT.q	FT.date	FT.dif
100	d3	9546	2	28_i_l	d	3	i	l	0	NA	NA
100	d4	9726	2	28_i_l	d	4	i	l	1	2016-03-08	138
100	d5	9870	2	28_i_l	d	5	i	l	1	2016-03-18	148
100	d6	9855	2	28_i_l	d	6	i	l	1	2016-02-25	126
100	d7	9543	2	28_i_l	d	7	i	l	0	NA	NA
100	d8	403	2	28_i_l	d	8	i	l	1	2016-03-02	132
100	e2	8357	2	28_i_l	e	2	i	l	0	NA	NA
100	e3	7208	2	28_i_l	e	3	i	l	0	NA	NA
100	e4	9947	2	28_i_l	e	4	i	l	0	NA	NA
100	e5	9584	2	28_i_l	e	5	i	l	0	NA	NA
100	e6	9758	2	28_i_l	e	6	i	l	1	2016-04-07	168
100	e7	9536	2	28_i_l	e	7	i	l	0	NA	NA
101	a2	1890	2	29_i_l	a	2	i	l	1	2016-03-03	133
101	a3	6112	2	29_i_l	a	3	i	l	0	NA	NA
101	a4	9886	2	29_i_l	a	4	i	l	0	NA	NA
101	a5	9640	2	29_i_l	a	5	i	l	1	2016-03-14	144
101	a6	932	2	29_i_l	a	6	i	l	1	2016-03-14	144
101	a7	9762	2	29_i_l	a	7	i	l	1	2016-03-25	155
101	b1	5772	2	29_i_l	b	1	i	l	1	2016-03-03	133
101	b2	5165	2	29_i_l	b	2	i	l	1	2016-03-18	148
101	b3	9771	2	29_i_l	b	3	i	l	1	2016-03-14	144
101	b4	915	2	29_i_l	b	4	i	l	0	NA	NA
101	b5	9894	2	29_i_l	b	5	i	l	1	2016-03-17	147
101	b6	7296	2	29_i_l	b	6	i	l	1	2016-03-17	147
101	b7	9992	2	29_i_l	b	7	i	l	1	2016-03-25	155
101	b8	6025	2	29_i_l	b	8	i	l	1	2016-03-14	144
101	c1	9548	2	29_i_l	c	1	i	l	0	NA	NA
101	c2	9577	2	29_i_l	c	2	i	l	1	2016-03-31	161
101	c3	9544	2	29_i_l	c	3	i	l	1	2016-02-23	124
101	c4	7288	2	29_i_l	c	4	i	l	1	2016-03-17	147
101	c5	6106	2	29_i_l	c	5	i	l	1	2016-03-28	158
101	c6	9874	2	29_i_l	c	6	i	l	0	NA	NA
101	c7	6911	2	29_i_l	c	7	i	l	0	NA	NA
101	c8	9900	2	29_i_l	c	8	i	l	1	2016-02-08	109
101	d1	9723	2	29_i_l	d	1	i	l	1	2016-03-08	138
101	d2	9660	2	29_i_l	d	2	i	l	0	NA	NA
101	d3	7416	2	29_i_l	d	3	i	l	1	2016-03-28	158
101	d4	9656	2	29_i_l	d	4	i	l	1	2016-03-10	140
101	d5	9838	3	29_i_l	d	5	i	l	1	2016-03-02	132
101	d6	5811	3	29_i_l	d	6	i	l	0	NA	NA
101	d7	6216	3	29_i_l	d	7	i	l	1	2016-03-25	155
101	d8	6174	3	29_i_l	d	8	i	l	1	2016-03-14	144
101	e2	9716	3	29_i_l	e	2	i	l	1	2016-03-25	155
101	e3	9098	3	29_i_l	e	3	i	l	1	2016-03-18	148
101	e4	7394	3	29_i_l	e	4	i	l	0	NA	NA
101	e5	9606	3	29_i_l	e	5	i	l	0	NA	NA
101	e6	6961	3	29_i_l	e	6	i	l	0	NA	NA
101	e7	9602	3	29_i_l	e	7	i	l	1	2016-03-23	153
102	a2	9543	3	30_i_l	a	2	i	l	1	2016-03-11	141
102	a3	9579	3	30_i_l	a	3	i	l	1	2016-03-08	138
102	a4	8237	3	30_i_l	a	4	i	l	0	NA	NA
102	a5	9542	3	30_i_l	a	5	i	l	0	NA	NA
102	a6	5772	3	30_i_l	a	6	i	l	0	NA	NA
102	a7	9576	3	30_i_l	a	7	i	l	0	NA	NA
102	b1	9873	3	30_i_l	b	1	i	l	1	2016-02-11	112
102	b2	772	3	30_i_l	b	2	i	l	1	2016-03-17	147
102	b3	8244	3	30_i_l	b	3	i	l	1	2016-03-21	151
102	b4	1	3	30_i_l	b	4	i	l	1	2016-03-03	133
