1	10	177	186	73	86	249	262
2	11	178	187	74	87	250	263
3	12	179	188	75	88	251	264
4	13	180	189	76	89	252	265
5	14	181	190	77	90	253	266
6	15	182	191	78	91	254	267
7	16	183	192	79	92	255	268
8	17	184	193	80	93	256	269
9	18	185	194	81	94	257	270
99	112	275	288	82	95	258	271
100	113	276	289	83	96	259	272
101	114	277	290	84	97	260	273
102	115	278	291	85	98	261	274
103	116	279	292	19	28	195	204
104	117	280	293	20	29	196	205
105	118	281	294	21	30	197	206
106	119	282	295	22	31	198	207
107	120	283	296	23	32	199	208
108	121	284	297	24	33	200	209
109	122	285	298	25	34	201	210
110	123	286	299	26	35	202	211
111	124	287	300	27	36	203	212
37	46	213	222	125	138	301	314
38	47	214	223	126	139	302	315
39	48	215	224	127	140	303	316
40	49	216	225	128	141	304	317
41	50	217	226	129	142	305	318
42	51	218	227	130	143	306	319
43	52	219	228	131	144	307	320
44	53	220	229	132	145	308	321
45	54	221	230	133	146	309	322
151	164	327	340	134	147	310	323
152	165	328	341	135	148	311	324
153	166	329	342	136	149	312	325
154	167	330	343	137	150	313	326
155	168	331	344	55	64	231	240
156	169	332	345	56	65	232	241
157	170	333	346	57	66	233	242
158	171	334	246	58	67	234	243
159	172	335	247	59	68	235	244
160	173	336	248	60	69	236	245
161	0	337	0	61	70	237	174
162	0	338	0	62	71	238	175
163	0	339	0	63	72	239	176
