pathimage	site	totarea	sk	bp	ep	datelabeled	tray	pos	organ	indpop	num
../data/field_tuebingen_harvesting/2016_07_21/P1170517.JPG	tuebingen	251516	39255	1507	201	2017-07-11_12:46:41	330	c5	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170518.JPG	tuebingen	724989	123851	6302	730	2017-07-11_12:46:43	330	c5	i	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170519.JPG	tuebingen	240347	39390	3397	177	2017-07-11_12:46:46	330	d5	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170520.JPG	tuebingen	604406	115769	6686	642	2017-07-11_12:46:47	330	d5	i	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170521.JPG	tuebingen	196778	32306	2170	211	2017-07-11_12:46:50	330	e5	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170522.JPG	tuebingen	630457	106475	3508	650	2017-07-11_12:46:51	330	e5	i	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170523.JPG	tuebingen	238475	39070	3532	230	2017-07-11_12:46:55	330	a6	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170524.JPG	tuebingen	736511	127501	4104	912	2017-07-11_12:46:56	330	a6	i	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170525.JPG	tuebingen	144202	24334	1203	144	2017-07-11_12:46:59	330	b6	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170526.JPG	tuebingen	722424	123958	4389	1117	2017-07-11_12:47:00	330	b6	i	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170527.JPG	tuebingen	239142	36604	3004	305	2017-07-11_12:47:02	330	c6	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170528.JPG	tuebingen	643687	104049	2731	483	2017-07-11_12:47:03	330	c6	i	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170529.JPG	tuebingen	282714	44385	2455	206	2017-07-11_12:47:06	330	e6	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170530.JPG	tuebingen	801724	146270	6045	1019	2017-07-11_12:47:07	330	e6	i	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170531.JPG	tuebingen	220058	33991	1694	214	2017-07-11_12:47:10	330	a7	r	i	NA
../data/field_tuebingen_harvesting/2016_07_21/P1170532.JPG	tuebingen	711159	124195	5103	858	2017-07-11_12:47:12	330	a7	i	i	NA
