id	name	country	latitude	longitude	kgroup
6114	T570	SWE	55.8097	13.1342	3
6115	T580	SWE	55.8	13.1367	3
6122	T670	SWE	55.8364	13.3075	6
6125	T710	SWE	55.8403	13.3106	6
6126	T720	SWE	55.8411	13.3047	3
6128	T740	SWE	55.8397	13.2881	3
6131	T780	SWE	55.8369	13.3181	6
6132	T790	SWE	55.8386	13.3186	6
6133	T800	SWE	55.8364	13.2906	6
6134	T810	SWE	55.8383	13.2906	3
6136	T840	SWE	55.9336	13.5519	6
6137	T850	SWE	55.9419	13.5603	6
6138	T860	SWE	55.9403	13.5511	6
6140	T880	SWE	55.9392	13.5539	6
6142	T900	SWE	55.9428	13.5558	6
6145	T930	SWE	55.9497	13.5533	6
6148	T960	SWE	55.9319	13.5508	6
6149	T970	SWE	55.9281	13.5481	6
6150	T980	SWE	55.9261	13.5319	6
6151	T990	SWE	55.6528	13.2244	3
6169	TÅD	SWE	62.8714	18.3447	11
6172	TÅD	SWE	62.8717	18.3436	11
6173	TÅD	SWE	62.8717	18.3419	11
6174	TÅD	SWE	62.8719	18.3422	11
6177	TÄL	SWE	62.6322	17.69	11
6180	TÄL	SWE	62.6322	17.6906	9
6184	TBÖ	SWE	62.8892	18.4522	11
6188	TDr-1	SWE	55.7683	14.1386	3
6189	TDr-2	SWE	55.7686	14.1383	3
6191	TDr-4	SWE	55.7689	14.1375	3
6192	TDr-5	SWE	55.7692	14.1369	3
6193	TDr-7	SWE	55.7694	14.1347	3
6194	TDr-8	SWE	55.7706	14.1342	3
6195	TDr-9	SWE	55.7708	14.1342	3
6198	TDr-13	SWE	55.7708	14.1331	3
6201	TDr-16	SWE	55.7719	14.1211	3
6202	TDr-17	SWE	55.7717	14.1206	3
6203	TDr-18	SWE	55.7714	14.1208	3
6209	TEDEN	SWE	62.8836	18.1842	11
6210	TEDEN	SWE	62.8839	18.1836	11
6216	TFÄ	SWE	63.0167	18.3283	11
6217	TFÄ	SWE	63.0169	18.3283	11
6218	TFÄ	SWE	63.0172	18.3283	11
6235	TOM	SWE	62.9611	18.3589	11
