ACC_ID
86
96
149
383
461
936
1782
1829
1874
2057
2187
5719
5723
5729
5731
5736
5742
5745
5751
5752
5837
6008
6016
6040
6064
6074
6730
6898
6899
6903
6904
6906
6907
6909
6910
6911
6913
6915
6916
6918
6919
6920
6921
6922
6923
6924
6926
6927
6928
6929
6930
6931
6932
6933
6937
6945
6965
6968
6969
6971
6976
6981
6983
6987
6990
6992
6998
7000
7002
7004
7008
7014
7015
7026
7028
7031
7062
7071
7075
7081
7092
7094
7098
7102
7123
7126
7143
7147
7163
7164
7166
7169
7172
7178
7181
7192
7199
7201
7205
7210
7224
7231
7242
7252
7283
7316
7354
7355
7384
7424
7438
7514
7515
7516
7519
7521
7522
7523
7524
7526
8213
8214
8215
8230
8231
8233
8236
8239
8240
8241
8247
8249
8256
8258
8259
8270
8271
8274
8284
8285
8290
8296
8297
8300
8304
8306
8310
8311
8312
8313
8314
8323
8325
8329
8351
8353
8365
8369
8376
8420
9104
9152
9302
