ACC_ID	SET	mean_Total_length_day001	mean_Total_length_day002	mean_Total_length_day003	mean_Total_length_day004	mean_Total_length_day005	mean_Euclidian_length_day001	mean_Euclidian_length_day002	mean_Euclidian_length_day003	mean_Euclidian_length_day004	mean_Euclidian_length_day005	mean_Root_tortuosity_day001	mean_Root_tortuosity_day002	mean_Root_tortuosity_day003	mean_Root_tortuosity_day004	mean_Root_tortuosity_day005	mean_Root_tortuosity_avg	mean_Root_growth_rate_day001-day002	mean_Root_growth_rate_day002-day003	mean_Root_growth_rate_day003-day004	mean_Root_growth_rate_day004-day005	mean_Root_growth_rate_avg	mean_Relative_root_growth_rate_day001-day002	mean_Relative_root_growth_rate_day002-day003	mean_Relative_root_growth_rate_day003-day004	mean_Relative_root_growth_rate_day004-day005	mean_Relative_root_growth_rate_avg	mean_Root_angle_day001	mean_Root_angle_day002	mean_Root_angle_day003	mean_Root_angle_day004	mean_Root_angle_day005	mean_Root_angle_avg	mean_Root_directional_equivalent_day001	mean_Root_directional_equivalent_day002	mean_Root_directional_equivalent_day003	mean_Root_directional_equivalent_day004	mean_Root_directional_equivalent_day005	mean_Root_directional_equivalent_avg	mean_Root_horizontal_index_day001	mean_Root_horizontal_index_day002	mean_Root_horizontal_index_day003	mean_Root_horizontal_index_day004	mean_Root_horizontal_index_day005	mean_Root_horizontal_index_avg	mean_Root_vertical_index_day001	mean_Root_vertical_index_day002	mean_Root_vertical_index_day003	mean_Root_vertical_index_day004	mean_Root_vertical_index_day005	mean_Root_vertical_index_avg	mean_Root_linearity_day001	mean_Root_linearity_day002	mean_Root_linearity_day003	mean_Root_linearity_day004	mean_Root_linearity_day005	mean_Root_linearity_avg	mean_Average_root_width_day001	mean_Average_root_width_day002	mean_Average_root_width_day003	mean_Average_root_width_day004	mean_Average_root_width_day005	mean_Average_root_width_avg	mean_Root_width_20_day001	mean_Root_width_20_day002	mean_Root_width_20_day003	mean_Root_width_20_day004	mean_Root_width_20_day005	mean_Root_width_20_avg	mean_Root_width_40_day001	mean_Root_width_40_day002	mean_Root_width_40_day003	mean_Root_width_40_day004	mean_Root_width_40_day005	mean_Root_width_40_avg	mean_Root_width_60_day001	mean_Root_width_60_day002	mean_Root_width_60_day003	mean_Root_width_60_day004	mean_Root_width_60_day005	mean_Root_width_60_avg	mean_Root_width_80_day001	mean_Root_width_80_day002	mean_Root_width_80_day003	mean_Root_width_80_day004	mean_Root_width_80_day005	mean_Root_width_80_avg	mean_Root_width_100_day001	mean_Root_width_100_day002	mean_Root_width_100_day003	mean_Root_width_100_day004	mean_Root_width_100_day005	mean_Root_width_100_avg
8297	6	133.8573846	263.462125	391.1693333	543.3690625	701.7356471	123.0656923	239.1295	357.9102	500.408	648.7580588	1.084970037	1.169712932	1.098536429	1.0890264	1.084135353	1.104774423	176.3343333	140.1917857	155.5808667	159.4953125	157.179776	5.699986639	0.644856451	0.493911416	0.318263757	1.561294233	-4.729692308	-5.836375	-7.737066667	-8.360125	-8.016588235	-7.210925	0.244538462	0.2913125	0.2708	0.2525	0.239647059	0.259160185	6.859846154	12.3433125	17.79726667	24.2351875	30.23847059	18.33088704	35.57461538	68.7105	102.8744	143.875375	186.6814706	107.5128657	0.69175	0.6479375	0.705066667	0.7688125	0.842882353	0.748557407	4.318692308	4.554125	4.369533333	4.2756875	4.166647059	4.36617963	4.942846154	5.75725	5.4862	5.2406875	4.640882353	5.255335185	4.40125	4.5521875	4.186	4.1606875	4.147117647	4.305213889	4.143461538	4.18525	4.072933333	4.0243125	4.015294118	4.103230556	4.1945	4.1173125	4.0588	3.9295	3.989470588	4.065886111	4.106692308	4.1585	4.040533333	4.02425	4.040529412	4.121877778
8300	2	133.4063077	303.143	477.1043333	593.5417143	787.7367273	119.7603846	261.9464615	413.6618333	504.2492857	697.2325455	1.108557171	1.193211491	1.17411484	1.187732996	1.132835216	1.147889281	156.4169091	164.9420833	163.6166667	189.6201429	163.7524524	1.30666548	0.542994448	0.326159264	0.597365587	0.963346016	-5.564153846	1.973769231	3.457666667	6.842428571	5.855181818	3.50508125	0.445615385	0.469	0.399416667	0.451857143	0.406363636	0.427015625	8.790153846	20.41269231	27.02925	27.30285714	30.35418182	19.09351458	32.67507692	74.89976923	121.0300833	150.7171429	205.1860909	95.37154167	0.649615385	0.657538462	0.638166667	0.484428571	0.593727273	0.642935417	4.588384615	4.641692308	4.333333333	4.768142857	4.447454545	4.54386875	6.064384615	5.765307692	5.15625	5.876	5.517636364	5.568304167	4.775615385	4.596	4.209166667	4.544285714	4.062636364	4.414276042	4.290461538	4.527153846	4.038416667	4.494714286	4.156090909	4.399416667	4.137153846	4.347461538	4.216583333	4.636285714	4.173909091	4.341970833	3.685153846	3.975538462	4.0475	4.297142857	4.328272727	4.004302083
8304	2	194.47215	325.6308182	468.8192105	617.7809412	802.9935625	169.05995	287.7798182	418.3417895	563.135	730.3341875	1.149999349	1.135797599	1.124341553	1.096682717	1.099748535	1.129998384	134.9285	143.9643333	134.7741875	191.4734286	145.6799962	1.110113744	0.498800199	0.293317972	0.314345972	0.652782908	-1.8504	-2.949363636	-2.368105263	-3.958117647	-4.065	-3.069084058	0.35395	0.348136364	0.319	0.303411765	0.325875	0.335555797	10.66925	15.07181818	17.91363158	19.22241176	25.0256875	16.64134565	48.97365	83.58095455	121.6392105	165.4858824	211.380875	116.5777739	0.48455	0.485909091	0.525263158	0.613294118	0.6305	0.53592029	4.9391	4.836863636	4.464842105	4.678823529	4.5710625	4.749183333	7.15935	6.782	6.291	5.884882353	5.3226875	6.43780942	5.2266	4.750227273	4.223210526	4.374176471	4.27575	4.626086232	4.3795	4.208136364	3.946894737	4.239764706	4.29375	4.25934058	4.1131	4.242	3.856578947	4.324411765	4.4691875	4.22140942	3.80375	4.204909091	4.007631579	4.571529412	4.495	4.199121014
8306	6	241.6949444	439.3091905	597.0034286	750.8712105	901.01585	222.8307222	401.4823333	549.3014762	692.9092105	833.32835	1.083382813	1.093488628	1.086657403	1.083529186	1.0810581	1.085613669	192.1750556	150.9177	152.2938947	150.6119474	160.4975076	0.81839333	0.339453478	0.255150527	0.200605341	0.426628897	-3.679055556	0.437952381	0.06747619	0.027	0.12395	-0.867390152	0.249722222	0.252666667	0.230142857	0.225526316	0.2181	0.235471212	11.36816667	17.97266667	20.33847619	22.46621053	22.25965	19.00693106	64.12683333	115.9218095	158.9000476	200.3136316	241.6128	154.7242295	0.686	0.523333333	0.534809524	0.505105263	0.4552	0.545035606	4.4485	4.056238095	3.858428571	3.802	3.70655	3.988108333	6.316833333	5.523047619	5.078238095	4.795894737	4.62835	5.297934091	4.422	3.884047619	3.744619048	3.748789474	3.58045	3.887475	3.933055556	3.71947619	3.57347619	3.526315789	3.4408	3.649283333	3.844055556	3.583857143	3.414619048	3.456263158	3.4245	3.550526515	3.724055556	3.567190476	3.48152381	3.482842105	3.45775	3.553731061
8310	2	195.2140909	358.2904615	499.660619	662.1865625	888.7425	179.3348182	324.2033077	454.6086667	609.81525	809.2882222	1.087525829	1.109968468	1.102402449	1.086268175	1.099869504	1.09990928	176.6486667	158.1784615	174.9065333	211.1724375	184.0000702	1.041523351	0.450256724	0.366752206	0.325984762	0.469901105	-4.486909091	-1.838230769	-3.075571429	1.1034375	1.185111111	-2.845793939	0.345545455	0.353769231	0.319857143	0.3079375	0.333722222	0.3363	10.52072727	17.13084615	18.86114286	21.08625	28.54027778	19.87170985	50.33590909	92.32207692	131.5379524	176.214	234.0127778	147.1016083	0.651818182	0.666230769	0.622809524	0.549375	0.509388889	0.593109848	4.407272727	4.480153846	4.296761905	4.1641875	4.089611111	4.255982576	5.012909091	5.531538462	5.439238095	5.137625	4.842777778	5.217125	4.627	4.563769231	4.135904762	3.90325	3.792888889	4.124137121	4.282454545	4.095230769	3.991952381	3.944	3.881722222	4.009190152	4.248090909	4.131923077	3.953333333	3.9199375	3.915722222	3.997709091	3.869181818	4.079230769	3.964952381	3.9155625	4.015444444	3.932693182
8311	2	131.0903333	319.9954167	489.3353158	647.7264118	821.9406667	115.9478	292.6535	439.0587368	580.5447059	740.1888333	1.10685964	1.091479832	1.115077272	1.117768705	1.112188943	1.111727703	177.0406364	156.8903333	155.9751765	173.4678235	166.3146898	2.101699096	0.541265767	0.330581698	0.282062233	0.637003275	-6.2334	-0.785	-3.589315789	-3.660470588	-3.700722222	-4.202280952	0.304333333	0.306666667	0.304736842	0.353	0.344444444	0.326315079	6.248466667	12.935	17.75084211	24.18182353	27.24688889	18.1637	34.0518	84.25808333	128.0304211	168.9307059	214.8354444	128.600931	0.588733333	0.597416667	0.542368421	0.659235294	0.668666667	0.622076984	4.613666667	4.531	4.347052632	4.522705882	4.4225	4.515853968	5.735066667	5.61175	5.689210526	5.519470588	5.284055556	5.716505556	4.893466667	4.545833333	4.197210526	4.312294118	4.248555556	4.41503254	4.4536	4.170083333	3.948157895	4.273705882	4.182166667	4.222388095	4.185066667	4.144083333	3.942736842	4.179529412	4.159555556	4.118639683	3.808733333	4.18175	3.956789474	4.330058824	4.237277778	4.107290476
8312	2	241.9088182	388.2272222	528.6793158	684.7312	874.0764	212.7176364	341.1925	466.3066842	601.353	765.0692667	1.131167017	1.138612769	1.134477653	1.138706316	1.14303029	1.137165758	162.2694444	141.7983125	143.0037778	182.9732667	157.1969125	0.720066082	0.387307057	0.27504253	0.271952128	0.358910201	2.680454545	-8.261944444	-11.43642105	-11.95275	-12.1492	-9.198437302	0.374454545	0.4235	0.420052632	0.4339	0.454666667	0.424671429	12.61463636	21.55033333	33.40936842	46.3364	58.48113333	35.81225	62.42227273	97.64022222	132.0420526	170.5018	217.0948	139.7535794	0.558818182	0.671055556	0.734052632	0.78865	0.860466667	0.727898413	4.647727273	4.418388889	4.241526316	4.3917	4.3576	4.394740476	6.885636364	5.842611111	5.387421053	5.234	4.952466667	5.554987302	4.511727273	4.321777778	4.056789474	4.0615	4.069066667	4.186566667	4.117	4.010555556	3.849894737	4.1171	4.140666667	4.045431746	3.952545455	3.911	3.886157895	4.21085	4.2182	4.039025397	3.777454545	4.007555556	4.027263158	4.3354	4.406666667	4.14875873
8313	2	188.1188667	366.426625	491.1037647	626.9172	801.3263333	168.0816667	322.9850625	429.4881765	551.7574	703.3006667	1.11189605	1.136659748	1.144676406	1.137121709	1.139632741	1.127228898	144.5294545	133.9957857	139.5716429	170.6486154	147.8255263	0.696977809	0.370848296	0.288225215	0.279625974	0.399161889	-1.2682	-9.7745	-13.79658824	-14.53173333	-15.6306	-10.83486746	0.318066667	0.4223125	0.445705882	0.452	0.456666667	0.402635714	8.8314	22.1505	38.03894118	50.63206667	66.39406667	34.20369444	48.84966667	91.4678125	120.4562941	153.7452	195.2911333	113.2998571	0.472133333	0.661625	0.730058824	0.814733333	0.871333333	0.714457937	4.005533333	4.3289375	4.381882353	4.4928	4.247133333	4.251643651	5.609933333	6.0350625	5.856823529	5.228666667	4.931866667	5.503073016	3.8662	4.1041875	3.968647059	4.139266667	3.8652	3.969593651	3.451466667	3.7999375	3.961647059	4.339733333	4.101	3.883498413	3.425733333	3.784375	4.034705882	4.328266667	4.097733333	3.898600794	3.6758	3.922625	4.085529412	4.4278	4.239933333	4.00192381
8314	2	191.75515	317.8433182	435.2336957	568.4493913	738.2078636	178.2011	285.9425909	389.1780435	505.581087	657.9553636	1.074500808	1.115656007	1.123179039	1.132335701	1.129600513	1.117277844	130.3197	123.1206818	133.2156957	165.0331364	136.7375254	0.810575507	0.398821004	0.314670049	0.297876512	0.4401117	6.73125	5.591681818	0.977565217	-1.063869565	-2.011590909	1.561980435	0.29515	0.420363636	0.376826087	0.400304348	0.3905	0.382134783	8.7362	16.20409091	21.62104348	27.77269565	32.46795455	21.9010913	50.4564	80.56813636	110.4154783	143.5075217	187.5109091	115.1596942	0.6922	0.593	0.608217391	0.553782609	0.540681818	0.599297826	4.15115	4.371772727	4.176826087	4.322304348	4.316727273	4.288449275	5.2362	5.185318182	4.936913043	4.864521739	4.815409091	5.018115942	4.22365	4.432136364	4.155173913	4.032652174	4.121136364	4.213499275	3.86855	3.970090909	3.930086957	4.137826087	4.130863636	4.023695652	3.79345	4.0985	3.934521739	4.248130435	4.250954545	4.092039855	3.6382	4.173227273	3.927043478	4.328130435	4.264909091	4.095500725
8323	5	37.51583333	97.07827273	203.89625	297.7646923	433.16625	22.04283333	76.41672727	159.9471667	250.7641538	371.9704167	1.404420433	1.25438232	1.274486342	1.196495166	1.168806557	1.290808163	95.74775	91.923	98.75858333	135.3803333	111.8267372	10.0931546	1.091654685	0.511511533	0.454550635	1.374882969	28.94016667	1.016272727	-4.044	-5.098923077	-3.5075	12.32239762	0.329166667	0.541818182	0.5285	0.398615385	0.368583333	0.439402381	4.284833333	10.45136364	17.353	16.08838462	16.16241667	14.07144524	7.137	21.30809091	46.26991667	73.23330769	109.1785	56.18875595	0.523833333	0.795909091	0.613416667	0.470923077	0.314416667	0.533314286	3.861833333	4.322818182	4.012083333	4.008615385	4.006083333	4.153969048	5.0305	5.135	5.309333333	5.062	4.88475	5.256386905	4.3925	4.453545455	3.92275	3.907153846	3.658	4.193320238	4.136166667	4.209727273	3.656166667	3.649153846	3.7365	3.979510714	3.061333333	4.001090909	3.661916667	3.688769231	3.778583333	3.71452619	2.6695	3.800454545	3.514416667	3.734153846	3.974	3.623369048
