pathimage,site,totarea,sk,bp,ep,datelabeled,tray,pos,organ,ptype,num
../data/field_madrid_harvesting/2016_525/P1010617.JPG,madrid,369837,39515,367,227,Rocio,274,d8,i,i,1
../data/field_madrid_harvesting/2016_525/P1010665.JPG,madrid,281053,39741,2087,262,Rocio,328,e2,i,p,3
../data/field_madrid_harvesting/2016_525/P1010687.JPG,madrid,382538,52010,2069,274,Rocio,231,c5,r,p,7
../data/field_madrid_harvesting/2016_525/P1010712.JPG,madrid,440640,79763,8013,486,Rocio,233,b8,i,p,3
../data/field_madrid_harvesting/2016_525/P1010723.JPG,madrid,310697,49296,2671,269,Rocio,243,a5,r,p,14
../data/field_madrid_harvesting/2016_525/P1010735.JPG,madrid,602326,94773,7298,684,Rocio,243,c5,r,p,23
../data/field_madrid_harvesting/2016_525/P1010743.JPG,madrid,607476,96520,8368,638,Rocio,243,b3,r,p,20
../data/field_madrid_harvesting/2016_525/P1010745.JPG,madrid,494901,77569,5993,501,Rocio,243,b4,r,p,18
../data/field_madrid_harvesting/2016_525/P1010755.JPG,madrid,287629,42382,1991,184,Rocio,243,c8,i,p,1
../data/field_madrid_harvesting/2016_525/P1010810.JPG,madrid,282364,34989,747,202,Rocio,244,d2,r,p,1
../data/field_madrid_harvesting/2016_525/P1010816.JPG,madrid,278035,38130,1592,207,Rocio,244,d5,i,p,1
../data/field_madrid_harvesting/2016_525/P1010861.JPG,madrid,276432,37862,1085,170,Rocio,245,c5,i,p,1
../data/field_madrid_harvesting/2016_525/P1010874.JPG,madrid,640894,98370,6802,669,Rocio,174,a4,r,p,24
../data/field_madrid_harvesting/2016_526/P1010931.JPG,madrid,453054,67403,3941,360,Rocio,175,b7,r,p,15
../data/field_madrid_harvesting/2016_526/P1010935.JPG,madrid,563568,76323,4245,483,Rocio,175,c1,r,p,17
../data/field_madrid_harvesting/2016_526/P1010939.JPG,madrid,419201,65574,3153,461,Rocio,175,c4,r,p,21
../data/field_madrid_harvesting/2016_526/P1010963.JPG,madrid,430307,68071,5052,434,Rocio,175,d8,r,p,14
../data/field_madrid_harvesting/2016_526/P1020003.JPG,madrid,86922,12084,283,49,Rocio,176,d7,r,p,2
../data/field_madrid_harvesting/2016_526/P1020060.JPG,madrid,427283,51756,3128,263,Rocio,298,b3,r,i,1
../data/field_madrid_harvesting/2016_526/P1020070.JPG,madrid,214275,23758,423,120,Rocio,298,b8,r,i,1
../data/field_madrid_harvesting/2016_526/P1020075.JPG,madrid,239764,41994,3101,109,Rocio,298,c2,i,i,1
../data/field_madrid_harvesting/2016_526/P1020084.JPG,madrid,351203,40911,804,192,Rocio,298,c7,r,i,1
../data/field_madrid_harvesting/2016_526/P1020099.JPG,madrid,426168,43046,377,286,Rocio,298,d7,r,i,1
../data/field_madrid_harvesting/2016_526/P1020126.JPG,madrid,91166,12972,301,76,Rocio,299,b1,r,i,1
../data/field_madrid_harvesting/2016_526/P1020163.JPG,madrid,221234,34495,1162,137,Rocio,299,e4,i,i,1
../data/field_madrid_harvesting/2016_526/P1020221.JPG,madrid,407478,59652,4707,366,Rocio,300,d6,i,i,1
../data/field_madrid_harvesting/2016_526/P1020244.JPG,madrid,111558,16118,303,68,Rocio,324,a5,r,i,1
../data/field_madrid_harvesting/2016_526/P1020305.JPG,madrid,209751,23215,349,105,Rocio,323,a4,r,i,1
../data/field_madrid_harvesting/2016_527/P1020427.JPG,madrid,397779,48282,2233,208,Rocio,312,a2,i,i,1
../data/field_madrid_harvesting/2016_527/P1020430.JPG,madrid,343201,63818,2469,238,Rocio,312,a4,r,i,1
../data/field_madrid_harvesting/2016_527/P1020436.JPG,madrid,423879,54518,2661,294,Rocio,312,a7,i,i,1
../data/field_madrid_harvesting/2016_527/P1020478.JPG,madrid,122400,20697,499,104,Rocio,312,e5,r,i,1
../data/field_madrid_harvesting/2016_527/P1020482.JPG,madrid,126962,15213,262,86,Rocio,313,a2,r,i,1
../data/field_madrid_harvesting/2016_527/P1020496.JPG,madrid,107031,13359,273,56,Rocio,313,b2,r,i,1
../data/field_madrid_harvesting/2016_527/P1020510.JPG,madrid,223466,31229,727,150,Rocio,313,c1,r,i,1
../data/field_madrid_harvesting/2016_527/P1020551.JPG,madrid,170384,24832,465,114,Rocio,326,a3,r,i,1
../data/field_madrid_harvesting/2016_527/P1020561.JPG,madrid,149080,24157,451,73,Rocio,326,b1,r,i,1
../data/field_madrid_harvesting/2016_527/P1020587.JPG,madrid,145171,15948,286,91,Rocio,326,c6,r,i,1
../data/field_madrid_harvesting/2016_527/P1020597.JPG,madrid,199471,29120,490,69,Rocio,326,d3,r,i,1
../data/field_madrid_harvesting/2016_527/P1020716.JPG,madrid,502308,56357,2085,319,Rocio,276,c1,r,i,1
../data/field_madrid_harvesting/2016_527/P1020740.JPG,madrid,501167,61401,2862,332,Rocio,276,d5,r,i,1
../data/field_madrid_harvesting/2016_527/P1020750.JPG,madrid,1497567,228335,18499,4995,Rocio,276,e3,r,i,1
../data/field_madrid_harvesting/2016_527/P1020758.JPG,madrid,366067,51943,2747,260,Rocio,278,a4,i,i,1
../data/field_madrid_harvesting/2016_527/P1020791.JPG,madrid,153999,26257,913,88,Rocio,278,d3,i,i,1
../data/field_madrid_harvesting/2016_527/P1020796.JPG,madrid,72824,12268,247,39,Rocio,278,d6,r,i,1
../data/field_madrid_harvesting/2016_527/P1020876.JPG,madrid,413506,46472,955,184,Rocio,297,b1,r,i,1
../data/field_madrid_harvesting/2016_527/P1020880.JPG,madrid,275026,35942,647,66,Rocio,297,b3,r,i,1
../data/field_madrid_harvesting/2016_527/P1020881.JPG,madrid,156675,25209,314,37,Rocio,297,b3,i,i,1
../data/field_madrid_harvesting/2016_527/P1020919.JPG,madrid,230353,46389,5087,161,Rocio,297,d7,r,i,1
../data/field_madrid_harvesting/2016_527/P1020932.JPG,madrid,201319,31907,471,59,Rocio,45,c3,i,p,4
../data/field_madrid_harvesting/2016_527/P1020934.JPG,madrid,155891,26753,456,68,Rocio,45,c4,i,p,2
../data/field_madrid_harvesting/2016_527/P1020936.JPG,madrid,232755,32560,323,63,Rocio,44,a5,i,p,2
../data/field_madrid_harvesting/2016_527/P1020938.JPG,madrid,211754,30978,229,61,Rocio,44,d2,i,p,5
