X			406	1	X			411	10	row1
312			406			325	401			row1
328	406	411			323	406				row1
		406		406			401	406		row1
	406	401				406	406			row1
		406	411		406		406	406		row1
		401		406	406			406		row1
X	406			X	X	401	406	411	X	row1
X		406	401	2	X	323	406		11	row1
			406	401		408	406			row1
406	406		408	406	401	406		406		row1
						408	406	401		row1
406		401	406				406			row1
		401			401			406		row1
411			321		328	406	406			row1
X		321		X	X			401	X	row1
X				3	X	401	406		12	row1
				406	406	401		406		row1
				406		406		406	408	row1
					406		401	406		row1
			321		406		401			row1
				406	406	401				row1
			328		406					row1
X			401	X	X	328	406		X	row1
X				4	X		408	328	13	row1
				406	226	401				row1
				321	318					row1
										row1
										row1
401				406	406	406				row1
323			411		323		406			row1
X				X	X			411	X	row1
X			406	5	X	406			14	row1
				406						row1
	401	406		318	406		323			row1
406				321	406					row1
406		406	406	323	406			411		row1
	411		406	406	406	406	406			row1
		401	406	406		406	401			row1
X		401	401	X	X	406	401	411	X	row1
X	406			6	X	406	328	408	15	row1
			406		406	406		406		row1
406				406	406	406	406			row1
406	406			406	411					row1
323	406			406	406	406				row1
		406			406	406	406			row1
			406	301	316	401				row1
X		406	406	X	X	406			X	row1
X	411		325	7	X	408			16	row1
		325	406		406	401				row1
406	316	406		406		406	406			row1
	406	318	406	401	406	406	406			row1
		406	401		401		401	406		row1
			406	406	406		406			row1
		406	406	406		401	406	406		row1
X			406	X	X	401	401		X	row1
X	406			8	X				17	row1
406			406		323	406				row1
			408		406	406	401			row1
406				323		401				row1
					406		316			row1
			408							row1
		401	406	411				406		row1
X				X	X	406			X	row1
X	406	406	406	9	X				18	row1
					406	406		401		row1
				401		406				row1
				323	323	406	406			row1
406	325			406	406	406				row1
		328			406	406	401			row1
	401		406	406		406	406			row1
X				X	X				X	row1
X	401	411	411	99	X	401	406	406	112	row1
401			411	411	401		325			row1
411		325	411	316	401	406	401	406		row1
401	408	411	411	411	406		406	401		row1
401	401		323	401	401	401	316	401		row1
321		411	411		406	328	401	401		row1
401		411	411	401	406	406	401	401		row1
X	411	401	411	X	X	406	321	401	X	row1
X	401	316	316	100	X	406	401	308	113	row1
401		318	323	401	406	318	316	406		row1
408		408	411	401	401	406	401	406		row1
	328	408	401		207	321	408	406		row1
	401		408	408	308	401	406	406		row1
328	325	328	411	401	406	401		401		row1
401	408	316	321	321	321	411	323	401	406	row1
X	325	321	408	X	X	401	328	328	X	row1
X	408	411	325	101	X	406	401	401	114	row1
	401	408	408		401	401	401	406		row1
401	408		408	408	401	406	406	401		row1
218	316	408	408	408	406	406	411	401		row1
308	316		408	408	406	406	318	406		row1
308	408	316	401	401	401	406	401	318		row1
328			408	408	406	401	406	401		row1
X	408	308	408	X	X	308	226	401	X	row1
X	328		301	102	X	406	301	406	115	row1
408	408	318	328	401	406	401	401	401		row1
408	408	308	408	328	401	401	406	406		row1
408		401	401	325	406	411	406	321		row1
			401	408	318	406	401	321		row1
				408	401	216	318	406		row1
					408	406	401	406		row1
X			408	X	X	406	308	408	X	row1
X			401	103	X	x	406		116	row1
			408	401	406	325	401	401		row1
		318	401	401	325	401	401	406		row1
		325		408	401	328	401			row1
		401	401	401	401	401	406	401		row1
			408	408	406	325	406			row1
			408	408	308	321	401			row1
X	408	401	408	X	X	325	308	318	X	row1
X	408	328	408	104	X	325	401	406	117	row1
			325		411	406	321	401		row1
	226	408	408	323	323	406	406	406		row1
		328	401	401	401	401	401	401		row1
316		321	408	401	406	406	316	406		row1
	316	323	328	325	406	406	218	401		row1
	401	408	308	401	406	406	328	406		row1
X		328	321	X	X		411	401	X	row1
X	401	408	401	105	X	401	401	321	118	row1
	401	408	411	408	308	325	406	401		row1
	408	408	401	408	216	308	401	325		row1
		401		408	401	406		318		row1
		408	323	401	401	401	308	318		row1
	408	408	408		406	323	401	401		row1
	411	411	323	408	401	406	406	328		row1
X	318	408	408	X	X	406	328	401	X	row1
X	408	401	401	106	X	321	323	401	119	row1
408	408	408	401	401	406	406	321	401		row1
408	408	408		408	401		401	401	406	row1
401	401	408	408	316	401	321		406		row1
	401	401	408	408	406	328	406	323		row1
401	401	408	408	401	316	401	406	328	411	row1
	323	325		401		318	406	406		row1
X	408	406	401	X	X		321	401	X	row1
X	408	323	401	107	X	328	401		120	row1
		401		408	406	406				row1
		408	328	408	401	406	207			row1
		408	408	408	401	406	401			row1
		316	308	321	401		406			row1
