id,FT10_mean,FT10_sd,FT16_mean,FT16_sd,seq_by,name,country,sitename,latitude,longitude,collector,collectiondate,CS_number,group,relict,icon
1257,94.6666666667,12.5830573921,93.25,10.65754819,GMI,Tos-95-393,SWE,Tos,59.4333,17.0167,Jon Ågren,2001-01-01 0:00:00,CS77380,north_sweden,,orange_circle
1317,104.25,5.2519837522,102,3,GMI,Ängsö-74-430,SWE,Ängsö,59.5667,16.8667,Jon Ågren,2001-01-01 0:00:00,CS76665,admixed,,forbidden
1318,89.75,10.3400515795,123,19.5192213,,Ängsö-80-432,SWE,Ängsö,59.5667,16.8667,Jon Ågren,2001-01-01 00:00:00,,,,
1363,104.75,13.0479883507,96,12.88409873,,Ham-7-233,SWE,Ham,59.7833,17.5833,Jon Ågren,2004-01-01 00:00:00,,,,
1367,101.75,4.9916597106,88.75,3.593976442,,Ham-13-241,SWE,Ham,59.7833,17.5833,Jon Ågren,2004-01-01 00:00:00,,,,
139,68.75,9.9121138008,52.75,5.057996968,Monsanto,LDV-46,FRA,LDV,48.5167,-4.06667,Valerie Le Corre,,CS77014,western_europe,,blu_circle
1435,72.25,2.8722813233,45.66666667,0.577350269,,Röd-17-319,SWE,Röd,62.8,18.2,Jon Ågren,2003-01-01 00:00:00,,,,
1552,104,5.6568542495,115.3333333,17.61628035,GMI,Sku-30,SWE,Sku,63.0833,18.3667,Jon Ågren,2003-01-01 0:00:00,CS77251,north_sweden,,orange_circle
1585,103.5,6.8556546004,103.25,13.1497782,,Hen-16-268,SWE,Hen,65.25,15.6,Jon Ågren,1996-01-01 00:00:00,,,,
159,72,0.8164965809,56.75,1.892969449,Monsanto,MAR2-3,FRA,MAR2,47.35,3.93333,Valerie Le Corre,,CS77070,western_europe,,blu_circle
1829,94.75,2.7537852736,99,NA,Monsanto,Mdn-1,USA,Mdn,42.051,-86.509,Diane Byers,2002-05-01 00:00:00,CS77077,germany,,ltblu_circle
1853,71.5,2.0816659995,69.33333333,5.131601439,Monsanto,MNF-Pot-21,USA,MNF-Potter,43.595,-86.2657,Diane Byers,2004-06-05 00:00:00,CS77099,germany,,ltblu_circle
1872,80.25,7.0887234394,82.5,5.066228051,Monsanto,MNF-Pot-75,USA,MNF-Potter,43.595,-86.2657,Diane Byers,2004-06-05 00:00:00,CS77100,germany,,ltblu_circle
1890,101,22.0605228104,75.75,6.800735254,Monsanto,MNF-Riv-21,USA,MNF River,43.5139,-86.1859,Diane Byers,2004-06-05 00:00:00,CS77101,asia,,purple_circle
1925,89.5,5.9721576224,89.5,13,Monsanto,MNF-Che-2,USA,MNF-Cherry,43.5251,-86.1843,Diane Byers,2004-06-05 00:00:00,CS77096,germany,,ltblu_circle
1954,93,2.7080128015,101,4.242640687,Monsanto,MNF-Jac-12,USA,MNF-Jack,43.5187,-86.1739,Diane Byers,2004-06-05 00:00:00,CS77097,germany,,ltblu_circle
2016,77.5,7.1879528843,69.75,12.89379696,Monsanto,MNF-Pin-39,USA,MNF-Pine,43.5356,-86.1788,Diane Byers,2004-06-05 00:00:00,CS77098,admixed,,forbidden
2171,79,1.6329931619,82.5,10.78579312,Monsanto,Paw-26,USA,Paw,42.148,-86.431,Diane Byers,2002-05-01 00:00:00,CS77164,germany,,ltblu_circle
2202,97.75,6.3966136875,96.5,5.446711546,Monsanto,Pent-23,USA,Pent,43.7623,-86.3929,Diane Byers,2004-06-04 00:00:00,CS77168,admixed,,forbidden
2276,83,6.582805886,84.25,6.184658438,Monsanto,SLSP-31,USA,SLSP,43.665,-86.496,Diane Byers,2004-06-04 00:00:00,CS77254,admixed,,forbidden
2278,79.25,4.3493294502,85,11.53256259,Monsanto,SLSP-35,USA,SLSP,43.665,-86.496,Diane Byers,2004-06-04 00:00:00,CS77255,germany,,ltblu_circle
2317,77,3.559026084,53.5,6.8556546,Monsanto,Ste-40,USA,Ste,42.03,-86.514,Diane Byers,2002-05-01 00:00:00,CS77278,admixed,,forbidden
265,63.5,5.4467115461,47.25,5.377421935,Monsanto,PYL-6,FRA,PYL,44.65,-1.16667,Valerie Le Corre,,CS77198,admixed,,forbidden
350,68.5,3.4156502553,51.5,4.041451884,Monsanto,TOU-A1-88,FRA,TOU-A1,46.6667,4.11667,Fabrice Roux,,CS77382,western_europe,,blu_circle
351,69.25,3.2015621187,65.33333333,2.516611478,Monsanto,TOU-A1-89,FRA,TOU-A1,46.6667,4.11667,Fabrice Roux,,CS77383,western_europe,,blu_circle
403,63.5,6.8068592856,54.25,2.753785274,Monsanto,Zdarec3,CZE,Zda-2,49.3667,16.2667,Marie-Theres Hauser,,CS78873,central_europe,,ylw_circle
