pathimage,site,totarea,sk,bp,ep,datelabeled,tray,pos,organ,ptype,num,i.pred,r.pred,pred
../data/field_tuebingen_harvesting/2016_05_31/P1120644.JPG,tuebingen,347048,58366,4432,319,2017-07-04_12:40:05,223,d6,r,p,25,0.188,0.812,i
../data/field_tuebingen_harvesting/2016_05_31/P1120664.JPG,tuebingen,278259,46184,2624,180,2017-07-04_12:41:22,223,c7,r,p,18,0.18,0.82,i
../data/field_tuebingen_harvesting/2016_06_01/P1120878.JPG,tuebingen,273225,54935,4193,310,2017-07-04_12:51:04,221,c4,r,p,28,0.168,0.832,i
../data/field_tuebingen_harvesting/2016_06_01/P1120902.JPG,tuebingen,259628,46590,3270,303,2017-07-04_12:52:10,221,e2,r,p,13,0.178,0.822,i
../data/field_tuebingen_harvesting/2016_06_01/P1120930.JPG,tuebingen,253472,42430,2098,217,2017-07-04_12:53:19,37,b6,r,p,18,0.188,0.812,i
../data/field_tuebingen_harvesting/2016_06_01/P1120988.JPG,tuebingen,257775,36717,447,58,2017-07-04_12:55:57,37,e5,i,p,2,0.832,0.168,r
../data/field_tuebingen_harvesting/2016_06_02/P1130068.JPG,tuebingen,207028,44085,4673,246,2017-07-04_13:02:08,226,e4,r,p,15,0.196,0.804,i
../data/field_tuebingen_harvesting/2016_07_08/P1160073.JPG,tuebingen,168425,30348,797,101,2017-07-10_12:40:52,159,c1,i,i,NA,0.828,0.172,r
../data/field_tuebingen_harvesting/2016_07_08/P1160075.JPG,tuebingen,146121,26188,488,73,2017-07-10_12:40:58,159,d1,i,i,NA,0.826,0.174,r
../data/field_tuebingen_harvesting/2016_07_08/P1160092.JPG,tuebingen,90871,16592,547,64,2017-07-10_12:41:53,159,d4,r,i,NA,0.198,0.802,i
../data/field_tuebingen_harvesting/2016_07_08/P1160107.JPG,tuebingen,127152,22778,566,78,2017-07-10_12:42:25,159,c6,i,i,NA,0.806,0.194,r
../data/field_tuebingen_harvesting/2016_07_08/P1160109.JPG,tuebingen,118854,22062,595,68,2017-07-10_12:42:30,159,d6,i,i,NA,0.846,0.154,r
../data/field_tuebingen_harvesting/2016_07_08/P1160138.JPG,tuebingen,125612,20492,290,72,2017-07-10_12:43:47,171,e4,r,i,NA,0.19,0.81,i
../data/field_tuebingen_harvesting/2016_07_08/P1160143.JPG,tuebingen,98504,20026,440,39,2017-07-10_12:43:58,171,e5,i,i,NA,0.826,0.174,r
../data/field_tuebingen_harvesting/2016_07_08/P1160159.JPG,tuebingen,84910,18730,520,56,2017-07-10_12:44:39,167,d6,i,i,NA,0.808,0.192,r
../data/field_tuebingen_harvesting/2016_07_08/P1160174.JPG,tuebingen,119675,20232,414,75,2017-07-10_12:45:10,167,c4,r,i,NA,0.196,0.804,i
../data/field_tuebingen_harvesting/2016_07_08/P1160250.JPG,tuebingen,194470,40085,3722,82,2017-07-10_12:48:20,137,d8,i,i,NA,0.804,0.196,r
../data/field_tuebingen_harvesting/2016_07_08/P1160277.JPG,tuebingen,102257,19380,596,63,2017-07-10_12:49:21,137,a2,r,i,NA,0.19,0.81,i
../data/field_tuebingen_harvesting/2016_07_09/P1160313.JPG,tuebingen,85482,14953,388,73,2017-07-10_12:50:44,160,e6,r,i,NA,0.194,0.806,i
../data/field_tuebingen_harvesting/2016_07_09/P1160321.JPG,tuebingen,57002,9332,201,64,2017-07-10_12:51:54,160,c8,r,i,NA,0.19,0.81,i
../data/field_tuebingen_harvesting/2016_07_09/P1160323.JPG,tuebingen,69412,12149,218,68,2017-07-10_12:51:59,160,d5,r,i,NA,0.168,0.832,i
../data/field_tuebingen_harvesting/2016_07_09/P1160341.JPG,tuebingen,46498,10439,227,49,2017-07-10_12:52:37,166,d4,r,i,NA,0.198,0.802,i
../data/field_tuebingen_harvesting/2016_07_09/P1160352.JPG,tuebingen,172036,31576,1731,261,2017-07-10_13:02:30,166,c3,i,i,NA,0.806,0.194,r
../data/field_tuebingen_harvesting/2016_07_12/P1160532.JPG,tuebingen,251681,36310,619,66,2017-07-10_13:04:20,328,e5,r,i,NA,0.19,0.81,i
../data/field_tuebingen_harvesting/2016_07_12/P1160646.JPG,tuebingen,132431,26028,298,56,2017-07-10_13:08:44,144,b7,i,i,NA,0.81,0.19,r
../data/field_tuebingen_harvesting/2016_07_12/P1160656.JPG,tuebingen,127083,27731,2505,111,2017-07-10_13:09:08,145,b4,i,i,NA,0.826,0.174,r
../data/field_tuebingen_harvesting/2016_07_12/P1160667.JPG,tuebingen,112168,21443,853,66,2017-07-10_13:09:32,145,d7,r,i,NA,0.192,0.808,i
../data/field_tuebingen_harvesting/2016_07_13/P1160687.JPG,tuebingen,281443,40155,894,80,2017-07-10_13:10:30,131,a4,r,i,NA,0.198,0.802,i
../data/field_tuebingen_harvesting/2016_07_13/P1160705.JPG,tuebingen,125446,22145,616,73,2017-07-10_13:11:17,146,d3,r,i,NA,0.186,0.814,i
../data/field_tuebingen_harvesting/2016_07_13/P1160776.JPG,tuebingen,99440,18230,383,25,2017-07-10_13:14:50,136,e6,i,i,NA,0.83,0.17,r
../data/field_tuebingen_harvesting/2016_07_14/P1160943.JPG,tuebingen,122332,22005,618,42,2017-07-10_13:23:43,133,c8,r,i,NA,0.192,0.808,i
../data/field_tuebingen_harvesting/2016_07_14/P1170057.JPG,tuebingen,204086,30412,515,82,2017-07-11_12:02:10,126,d6,r,i,NA,0.168,0.832,i
../data/field_tuebingen_harvesting/2016_07_14/P1170064.JPG,tuebingen,155946,28758,242,62,2017-07-11_12:03:26,126,d7,i,i,NA,0.822,0.178,r
../data/field_tuebingen_harvesting/2016_07_14/P1170070.JPG,tuebingen,148534,23037,617,106,2017-07-11_12:03:38,126,d8,r,i,NA,0.186,0.814,i
../data/field_tuebingen_harvesting/2016_07_14/P1170074.JPG,tuebingen,147542,23638,658,93,2017-07-11_12:03:51,149,b2,r,i,NA,0.192,0.808,i
../data/field_tuebingen_harvesting/2016_07_20/P1170174.JPG,tuebingen,157183,24401,606,79,2017-07-11_12:27:18,139,d4,r,i,NA,0.198,0.802,i
../data/field_tuebingen_harvesting/2016_07_20/P1170206.JPG,tuebingen,112264,19628,446,41,2017-07-11_12:31:01,138,b6,r,i,NA,0.198,0.802,i
../data/field_tuebingen_harvesting/2016_07_21/P1170377.JPG,tuebingen,127083,19435,480,65,2017-07-11_12:39:07,118,b3,r,i,NA,0.19,0.81,i
../data/field_tuebingen_harvesting/2016_07_21/P1170400.JPG,tuebingen,393263,76460,4837,575,2017-07-11_12:40:00,118,e5,i,i,NA,0.806,0.194,r
../data/field_tuebingen_harvesting/2016_07_21/P1170432.JPG,tuebingen,216998,41022,3003,149,2017-07-11_12:41:25,125,a3,i,i,NA,0.804,0.196,r
../data/field_tuebingen_harvesting/2016_07_21/P1170458.JPG,tuebingen,142249,24109,796,106,2017-07-11_12:42:42,125,c6,i,i,NA,0.816,0.184,r
