tg_ecotypeid name country latitude longitude seq_by neanderthal
2317 Ste-40 USA 42.03 -86.514 Monsanto NO
2370 Yng-4 USA 41.865 -86.646 MPI NO
2412 Yng-53 USA 41.865 -86.646 MPI NO
4779 UKSW06-179 UK 50.4 -4.9 Monsanto NO
4807 UKSW06-207 UK 50.4 -4.9 Monsanto NO
4826 UKSW06-226 UK 50.4 -4.9 Monsanto NO
4840 UKSW06-240 UK 50.4 -4.9 MPI NO
4857 UKSW06-257 UK 50.3 -4.9 MPI NO
4884 UKSW06-285 UK 50.3 -4.9 Monsanto NO
4900 UKSW06-302 UK 50.3 -4.8 Monsanto NO
4939 UKSW06-341 UK 50.4 -4.7 MPI NO
4958 UKSW06-360 UK 50.5 -4.5 Monsanto NO
5023 UKSE06-118 UK 51.3 0.5 Monsanto NO
5104 UKSE06-252 UK 51.3 0.5 Monsanto NO
5151 UKSE06-325 UK 52.2 -1.7 Monsanto NO
5165 UKSE06-362 UK 51.3 0.4 Monsanto NO
5210 UKSE06-432 UK 51.2 0.3 Monsanto NO
5236 UKSE06-470 UK 51.2 0.4 Monsanto NO
5249 UKSE06-491 UK 51.2 0.3 MPI NO
5253 UKSE06-500 UK 51.1 0.6 Monsanto NO
5276 UKSE06-533 UK 51.3 1.1 Monsanto NO
5279 UKSE06-541 UK 51.3 1.1 MPI NO
5349 UKSE06-639 UK 51.1 0.4 Monsanto NO
5353 UKNW06-003 UK 54.5 -3 Monsanto NO
5395 UKNW06-102 UK 54.4 -3 MPI NO
5486 UKNW06-233 UK 54.6 -3.3 Monsanto NO
5577 UKNW06-403 UK 54.7 -3.4 Monsanto NO
5644 UKNW06-481 UK 54.4 -2.9 Monsanto NO
5651 UKNW06-488 UK 54.4 -2.9 MPI NO
5717 Bra-1 UK 54.6 -3.2 MPI NO
5718 UKID11 UK 57 -3.4 MPI NO
5720 Cal-2 UK 53.3 -1.6 Monsanto NO
5726 Cnt-1 UK 51.3 1.1 Monsanto NO
5741 For-2 UK 56.6 -4.1 Monsanto NO
5748 Kil-0 UK 56 -4.4 Monsanto NO
5757 Mc-1 UK 54.6 -2.3 Monsanto NO
5768 UKID63 UK 54.1 -1.5 Monsanto,MPI NO
5772 Set-1 UK 54.1 -2.3 Monsanto NO
5776 UKID71 UK 52.9 -1.3 MPI NO
5779 UKID74 UK 51 -3.1 Monsanto NO
5784 Ty-1 UK 56.4 -5.2 Monsanto NO
5798 UKID93 UK 53.1 -3.3 MPI NO
5800 UKID96 UK 57.4 -5.5 Monsanto NO
5811 UKID107 UK 52.9 -3.1 Monsanto NO
5822 UKID116 UK 56.7333 -5.98333 Monsanto NO
5830 App1-12 SWE 56.3333 15.9667 GMI NO
5831 App1-14 SWE 56.3333 15.9667 GMI NO
5832 App1-16 SWE 56.3333 15.9667 GMI NO
5836 Boo2-3 SWE 55.86 13.51 GMI NO
5837 Bor-1 CZE 49.4013 16.2326 Salk NO
5856 Dör-10 SWE 63.0167 17.4914 GMI NO
5860 Dra-3 SWE 62.6814 18.0165 GMI NO
5865 Dra1-4 SWE 55.76 14.12 GMI NO
5867 Dra2-1 SWE 55.76 14.12 GMI NO
5874 DraII-6 CZE 49.4112 16.2815 Monsanto NO
5890 DraIV CZE 49.4112 16.2815 Monsanto NO
5893 DraIV CZE 49.4112 16.2815 Monsanto NO
5907 DraIV CZE 49.4112 16.2815 Monsanto NO
5921 DraIV CZE 49.4112 16.2815 Monsanto NO
5950 DraIV CZE 49.4112 16.2815 Monsanto NO
5984 DraIV CZE 49.4112 16.2815 Monsanto NO
5993 DraIV CZE 49.4112 16.2815 Monsanto NO
6008 Duk CZE 49.1 16.2 Salk NO
6009 Eden-1 SWE 62.877 18.177 GMI NO
6010 Eden-5 SWE 62.877 18.177 GMI NO
6011 Eden-6 SWE 62.877 18.177 GMI NO
6012 Eden-7 SWE 62.877 18.177 GMI NO
6013 Eden-9 SWE 62.877 18.177 GMI NO
6016 Eds-1 SWE 62.9 18.4 GMI NO
6017 Eds-9 SWE 62.9 18.4 GMI NO
6019 Fjä1-2 SWE 56.06 14.29 GMI NO
6020 Fjä1-5 SWE 56.06 14.29 GMI NO
6021 Fjä2-4 SWE 56.06 14.29 GMI NO
6022 Fjä2-6 SWE 56.06 14.29 GMI NO
6023 Fly2-1 SWE 55.7509 13.3712 GMI NO
6024 Fly2-2 SWE 55.7509 13.3712 GMI NO
6025 Gro-3 SWE 62.6437 17.7339 GMI NO
6030 Grön-5 SWE 62.806 18.1896 GMI NO
6034 Hov1-7 SWE 56.1 13.74 GMI NO
6035 Hov1-10 SWE 56.1 13.74 GMI NO
6036 Hov3-2 SWE 56.1 13.74 GMI NO
6038 Hov3-5 SWE 56.1 13.74 GMI NO
6039 Hovdala-2 SWE 56.1 13.74 GMI NO
6040 Kni-1 SWE 55.66 13.4 GMI NO
6041 Lis-3 SWE 56.0328 14.775 GMI NO
6042 Lom1-1 SWE 56.09 13.9 GMI NO
6043 Löv-1 SWE 62.801 18.079 GMI NO
6046 Löv-5 SWE 62.801 18.079 GMI NO
6064 Nyl-2 SWE 62.9513 18.2763 GMI NO
6069 Nyl-7 SWE 62.9513 18.2763 GMI NO
6070 Omn-1 SWE 62.9308 18.3448 GMI NO
6071 Omn-5 SWE 62.9308 18.3448 GMI NO
6073 ÖMö1-7 SWE 56.1481 15.8155 GMI NO
6074 Ör-1 SWE 56.4573 16.1408 GMI NO
6076 Rev-2 SWE 55.6942 13.4504 GMI NO
6077 Rev-3 SWE 55.6942 13.4504 GMI NO
6085 Sparta-1 SWE 55.7097 13.2145 GMI NO
6086 Sr:3 SWE 58.9 11.2 GMI NO
6087 Stu-2 SWE 56.4666 16.1284 GMI NO
6088 Stu1-1 SWE 56.4666 16.1284 GMI NO
6090 T1000 SWE 55.6525 13.2197 GMI NO
6091 T1010 SWE 55.6525 13.215 GMI NO
6092 T1020 SWE 55.6514 13.2233 GMI NO
6094 T1040 SWE 55.6494 13.2147 GMI NO
6095 T1050 SWE 55.6486 13.2161 GMI NO
6096 T1060 SWE 55.6472 13.2225 GMI NO
6097 T1070 SWE 55.6481 13.2264 GMI NO
6098 T1080 SWE 55.6561 13.2178 GMI NO
6099 T1090 SWE 55.6575 13.2386 GMI NO
6100 T1110 SWE 55.6 13.2 GMI NO
6101 T1120 SWE 55.6 13.2 GMI NO
6102 T1130 SWE 55.6 13.2 GMI NO
6104 T1160 SWE 55.7 13.2 GMI NO
6105 T450 SWE 55.7967 13.1211 GMI NO
6106 T460 SWE 55.7931 13.1186 GMI NO
6107 T470 SWE 55.7942 13.1222 GMI NO
6108 T480 SWE 55.7989 13.1206 GMI NO
6109 T510 SWE 55.7936 13.1233 GMI NO
6111 T530 SWE 55.7989 13.1219 GMI NO
6112 T540 SWE 55.7967 13.1044 GMI NO
6113 T550 SWE 55.8078 13.1028 GMI NO
6114 T570 SWE 55.8097 13.1342 GMI NO
6115 T580 SWE 55.8 13.1367 GMI NO
6118 T610 SWE 55.7 13.2 GMI NO
6119 T620 SWE 55.7 13.2 GMI NO
6122 T670 SWE 55.8364 13.3075 GMI NO
6123 T680 SWE 55.8369 13.3033 GMI NO
6124 T690 SWE 55.8378 13.3092 GMI NO
6125 T710 SWE 55.8403 13.3106 GMI NO
6126 T720 SWE 55.8411 13.3047 GMI NO
6128 T740 SWE 55.8397 13.2881 GMI NO
6131 T780 SWE 55.8369 13.3181 GMI NO
6132 T790 SWE 55.8386 13.3186 GMI NO
6133 T800 SWE 55.8364 13.2906 GMI NO
6134 T810 SWE 55.8383 13.2906 GMI NO
6136 T840 SWE 55.9336 13.5519 GMI NO
6137 T850 SWE 55.9419 13.5603 GMI NO
6138 T860 SWE 55.9403 13.5511 GMI NO
6140 T880 SWE 55.9392 13.5539 GMI NO
6141 T890 SWE 55.9414 13.5542 GMI NO
6142 T900 SWE 55.9428 13.5558 GMI NO
6145 T930 SWE 55.9497 13.5533 GMI NO
6148 T960 SWE 55.9319 13.5508 GMI NO
6149 T970 SWE 55.9281 13.5481 GMI NO
6150 T980 SWE 55.9261 13.5319 GMI NO
6151 T990 SWE 55.6528 13.2244 GMI NO
6153 TAA SWE 62.6425 17.7422 GMI NO
6154 TAA SWE 62.6422 17.7406 GMI NO
6163 TAA SWE 62.6425 17.7356 GMI NO
6166 TAA SWE 62.6425 17.7372 GMI NO
6169 TÅD SWE 62.8714 18.3447 GMI NO
6172 TÅD SWE 62.8717 18.3436 GMI NO
6173 TÅD SWE 62.8717 18.3419 GMI NO
6174 TÅD SWE 62.8719 18.3422 GMI NO
6177 TÄL SWE 62.6322 17.69 GMI NO
6180 TÄL SWE 62.6322 17.6906 GMI NO
6184 TBÖ SWE 62.8892 18.4522 GMI NO
6188 TDr-1 SWE 55.7683 14.1386 GMI NO
6189 TDr-2 SWE 55.7686 14.1383 GMI NO
6191 TDr-4 SWE 55.7689 14.1375 GMI NO
6192 TDr-5 SWE 55.7692 14.1369 GMI NO
6193 TDr-7 SWE 55.7694 14.1347 GMI NO
6194 TDr-8 SWE 55.7706 14.1342 GMI NO
6195 TDr-9 SWE 55.7708 14.1342 GMI NO
6198 TDr-13 SWE 55.7708 14.1331 GMI NO
6201 TDr-16 SWE 55.7719 14.1211 GMI NO
6202 TDr-17 SWE 55.7717 14.1206 GMI NO
6203 TDr-18 SWE 55.7714 14.1208 GMI NO
6209 TEDEN SWE 62.8836 18.1842 GMI NO
6210 TEDEN SWE 62.8839 18.1836 GMI NO
6214 TFÄ SWE 63.0175 18.3281 GMI MAYBE
6216 TFÄ SWE 63.0167 18.3283 GMI NO
6217 TFÄ SWE 63.0169 18.3283 GMI NO
6218 TFÄ SWE 63.0172 18.3283 GMI MAYBE
6220 TGR SWE 62.806 18.1896 GMI NO
6221 TGR SWE 62.806 18.1896 GMI NO
6231 TNY SWE 62.96 18.2844 GMI NO
6235 TOM SWE 62.9611 18.3589 GMI NO
6237 TOM SWE 62.9619 18.35 GMI NO
6238 TOM SWE 62.9619 18.35 GMI NO
6240 TOM SWE 62.9622 18.35 GMI NO
6241 TOM SWE 62.9614 18.3608 GMI NO
6242 Tomegap-2 SWE 55.7 13.2 GMI NO
6243 Tottarp-2 SWE 56.27373 13.90045 GMI NO
6244 TRÄ SWE 62.9169 18.4728 GMI NO
6252 TV-4 SWE 55.5796 14.3336 GMI NO
6255 TV-7 SWE 55.5796 14.3336 GMI NO
6258 TV-10 SWE 55.5796 14.3336 GMI NO
6268 TV-22 SWE 55.5796 14.3336 GMI NO
6276 TV-30 SWE 55.5796 14.3336 GMI NO
6284 TV-38 SWE 55.5796 14.3336 GMI NO
6296 UduI CZE 49.2771 16.6314 Monsanto NO
6390 UduI CZE 49.2771 16.6314 Monsanto NO
6396 UduI CZE 49.2771 16.6314 Monsanto NO
6413 Ull3-4 SWE 56.06 13.97 GMI NO
6424 ZdrI CZE 49.3853 16.2544 Monsanto NO
6434 ZdrI CZE 49.3853 16.2544 Monsanto NO
6445 ZdrI CZE 49.3853 16.2544 Monsanto NO
6680 ANH-1 GER 51.85 6.4333 Salk NO
6739 CSHL-15 USA 40.8585 -73.4675 MPI NO
6740 CSHL-17 USA 40.8585 -73.4675 MPI NO
6744 CSHL-5 USA 40.8585 -73.4675 Monsanto NO
6749 FM-10 USA 42.4489 -76.5072 MPI NO
6750 FM-11 USA 42.4489 -76.5072 MPI NO
6805 HS-12 USA 42.373 -71.0627 MPI NO
6806 HS-17 USA 42.373 -71.0627 MPI NO
6814 KNO-15 USA 41.2816 -86.621 MPI NO
6830 Kz-13 KAZ 49.5 73.1 MPI NO
6897 Ag-0 FRA 45 1.3 Salk NO
6898 An-1 BEL 51.2167 4.4 Salk NO
6900 Bil-5 SWE 63.324 18.484 GMI NO
6901 Bil-7 SWE 63.324 18.484 GMI NO
6903 Bor-4 CZE 49.4013 16.2326 Salk NO
6904 Br-0 CZE 49.2 16.6166 Salk NO
6907 CIBC-17 UK 51.4083 -0.6383 Salk NO
6908 CIBC-5 UK 51.4083 -0.6383 Salk NO
6909 Col-0 USA 38.3 -92.3 GMI NO
6911 Cvi-0 CPV 15.1111 -23.6167 Salk YES
6913 Eden-2 SWE 62.877 18.177 GMI NO
6915 Ei-2 GER 50.3 6.3 Salk NO
6917 Fäb-2 SWE 63.0165 18.3174 GMI NO
6918 Fäb-4 SWE 63.0165 18.3174 GMI NO
6919 Ga-0 GER 50.3 8 Salk NO
6920 Got-22 GER 51.5338 9.9355 Salk NO
6922 Gu-0 GER 50.3 8 Salk NO
6923 HR-10 UK 51.4083 -0.6383 Salk NO
6924 HR-5 UK 51.4083 -0.6383 Salk NO
6926 Kin-0 USA 44.46 -85.37 Salk NO
6927 Knox-10 USA 41.2816 -86.621 Salk,MPI NO
6929 Kondara TJK 38.48 68.49 Salk NO
6931 Kz-9 KAZ 49.5 73.1 Salk NO
6932 Ler-1 GER 47.984 10.8719 MPI,GMI NO
6933 LL-0 ESP 41.59 2.49 Salk NO
6938 Ms-0 RUS 55.7522 37.6322 Salk NO
6940 Mz-0 GER 50.3 8.3 Salk NO
6943 NFA-10 UK 51.4083 -0.6383 Salk NO
